State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,Outlier_Score,Local_Moran_Significant,Getis_Ord_Significant,Isolation_Forest_Outlier
Osun,OLA-OLUWA,TELEMU,29-26-01-004,"D.C. PRY. SCHOOL, TELEMU II",138,97,4,0,7.695484,4.330498,2,True,True,False
Osun,IFELODUN,OKEBA IKIRUN,29-14-07-002,ESORUN SQUARE II,129,77,2,0,7.938852,4.6502012,2,True,True,False
Osun,EDE SOUTH,OLODAN,29-08-06-001,IDI-ORO VILLAGE,41,98,0,0,7.6368422,4.5057333,2,True,True,False
Osun,IFE CENTRAL,MOORE OJAJA,29-11-11-004,AGBEDE AREA,132,166,0,0,7.5554803,4.5315029,2,True,True,False
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-013,ILASE DISPENSARY,36,277,3,0,7.7445696,4.6984965,2,True,True,True
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-007,OORA L.A. PRY. SCHOOL,46,38,5,0,7.7379881,4.6657027,2,True,True,False
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-003,COKER MARKET SQUARE,94,90,3,0,7.7379881,4.6657027,2,True,True,False
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-002,ILASE TOWN HALL,28,266,3,0,7.7445696,4.6984965,2,True,True,True
Osun,OBOKUN,ILASE/IDOMINASI,29-24-04-001,ILASE N.U.D. PRY. SCHOOL,35,235,3,1,7.7445696,4.6984965,2,True,True,True
Osun,EJIGBO,IFEODAN 'B'/MASIFA,29-10-08-004,OGURO/IFE ODAN /MASIFA  JUNCTION,191,231,6,0,7.892321,4.2563492,2,True,True,True
Osun,EJIGBO,IFEODAN 'B'/MASIFA,29-10-08-005,"CO-OP. OFFICE, MASIFA",183,214,4,0,7.8930115,4.257288,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-014,"SPORTS CENTRE, O.A.U",35,3,32,0,7.5174314,4.5227636,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-013,"POST GRADUATE HALL, O.A.U",45,12,36,1,7.5219993,4.5165631,2,True,True,True
Osun,EJIGBO,ILAWO/ISOKO/ISUNDUNRIN,29-10-09-005,ADEGEEBO/ELEWURE VILLAGE,55,35,0,0,7.861704,4.2435893,2,True,True,False
Osun,EJIGBO,ILAWO/ISOKO/ISUNDUNRIN,29-10-09-006,"ISUNDUNRIN BAPT. DAY SCHOOL,",235,142,7,0,7.9159433,4.2770646,2,True,True,True
Osun,EJIGBO,INISA II/AFAAKE/AYEGUNLE,29-10-11-004,AYEGUNLE KUGBOLA,82,102,0,0,7.8012285,4.3049938,2,True,True,False
Osun,IWO,MOLETE  II,29-23-06-002,AROWOREKI,164,155,3,0,7.640139,4.1769858,2,True,True,False
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-004,FAJUYI HALL O.A.U,33,8,58,0,7.517677,4.5176115,2,True,True,True
Osun,IFE CENTRAL,ILARE II,29-11-02-009,"L.A. PRY. SCHOOL, FAJUYI",124,106,30,1,7.4920172,4.5567206,2,True,True,False
Osun,IFE CENTRAL,ILARE II,29-11-02-011,"L.A. PRY. SCHOOL, FAJUYI",0,0,0,0,7.4920172,4.5567206,2,False,True,True
Osun,IWO,GIDIGBO  III,29-23-13-001,"D.C. PRY. SCHOOL, OKE-IFA I",133,153,8,1,7.6372493,4.1727176,2,True,True,False
Osun,IWO,OKE-OBA  II,29-23-15-006,"D.C. PRY. SCHOOL, AGORO VILLAGE",148,57,2,0,7.6040957,4.1870394,2,True,True,False
Osun,IWO,GIDIGBO  III,29-23-13-008,"D.C. PRY. SCHOOL, LAITO",192,152,3,0,7.6401303,4.1769749,2,True,True,False
Osun,IWO,ISALE OBA  III,29-23-03-005,STATE HOSPITAL FIRST GATE,93,176,52,0,7.6401303,4.1769749,2,True,True,False
Osun,IFE CENTRAL,IREMO II (ELEYELE),29-11-06-008,IFE GIRLS HIGH SCHOOL,112,56,37,2,7.4927361,4.5442311,2,True,True,True
Osun,EJIGBO,ELEJIGBO 'D'/EJEMU,29-10-04-008,APANPA AJILA OSUNFIADE,0,0,0,0,7.5128574,4.372894,2,True,True,True
Osun,EDE SOUTH,LOOGUN,29-08-10-003,ALADUN OSUN VILLAGE,11,85,0,0,7.6651122,4.387352,2,True,True,False
Osun,EDE SOUTH,BABASANYA,29-08-07-001,BABASANYA COMP. EDE,80,246,2,0,7.7316888,4.4358752,2,True,True,True
Osun,IFE EAST,MODAKEKE  II,29-13-09-005,"ST. STEPHEN 'A' PRY. SCHOOL, ITASIN AREA",0,0,0,0,7.4777,4.5457,2,True,True,True
Osun,IREWOLE,IKIRE 'K',29-21-11-002,"MOLARERE VILLAGE, OPEN SPACE, MOLARERE VILLAGE",192,149,0,0,7.380836,4.2677899,2,True,True,False
Osun,EDE SOUTH,SEKONA,29-08-08-008,"MATERNITY CENTRE, ERE-OSUN",25,92,0,0,7.6252616,4.4398681,2,True,True,False
Osun,EDE SOUTH,OLOKI/AKODA,29-08-09-001,AKODA VILLAGE,76,225,38,0,7.6799437,4.4587355,2,True,True,True
Osun,ODO-OTIN,OKUA/EKUSA,29-25-08-002,"TOWH HALL, OKUA",50,20,150,0,8.0087703,4.6224992,2,True,True,False
Osun,EDE SOUTH,OLOKI/AKODA,29-08-09-006,OGOBI VILLAGE,38,290,3,0,7.6644817,4.4490836,2,True,True,True
Osun,EDE SOUTH,OLOKI/AKODA,29-08-09-007,AYEGBAMI VILLAGE,15,76,0,0,7.6644817,4.4490836,2,True,True,False
Osun,EDE SOUTH,LOOGUN,29-08-10-004,"C.A.C PRY. SCHOOL, EGBEDA LOOGUN",105,241,2,0,7.7362614,4.4254837,2,True,True,True
Osun,OBOKUN,ESA-OKE,29-24-07-007,ESA-OKE L.A. SCHOOL  I,87,301,2,0,7.7590044,4.8965121,2,True,True,True
Osun,ODO-OTIN,EKOSIN/IYEKU,29-25-05-008,"ELESIN FUNFUN COMMUNITY PRY. SCHOOL, IYEKU",79,74,0,0,8.0529904,4.5914647,2,True,True,False
Osun,ODO-OTIN,FAJI/OPETE,29-25-04-005,"SEMI OLA AREA, OPETE",94,76,0,0,8.0603314,4.6343813,2,True,True,False
Osun,EGBEDORE,ARA I,29-09-02-005,ARO ALARA VILLAGE,32,56,0,0,7.8421697,4.3794799,2,True,True,False
Osun,IREWOLE,IKIRE 'K',29-21-11-012,"AYETORO VILLAGE, OPEN SPACE, AYETORO VILLAGE",124,134,1,0,7.3852243,4.2846246,2,True,True,False
Osun,IREWOLE,IKIRE 'K',29-21-11-013,"ODEYINKA BAPTIST DAY SCHOOL, ODEYINKA VILLAGE I",161,150,1,0,7.3232901,4.3637088,2,True,True,False
Osun,IREWOLE,IKIRE 'K',29-21-11-017,"MOLAUSA VILLAGE, MOLAUSA",116,105,3,0,7.3852243,4.2846246,2,True,True,False
Osun,EGBEDORE,IRA GBERI II,29-09-06-001,"BAPTIST DAY PRY. SCHOOL, IRAGBERI",108,240,4,0,7.7813259,4.3666383,2,True,True,True
Osun,OBOKUN,ESA-OKE,29-24-07-009,OJA-OKO OPEN SPACE,114,286,2,0,7.7590044,4.8965121,2,True,True,True
Osun,EDE SOUTH,BABASANYA,29-08-07-002,AGBANU'S COMP. EDE,111,225,5,2,7.7325446,4.4349161,2,False,True,True
Osun,IREPODUN,BARA 'B',29-20-06-007,BABA ODUNAYO,113,86,3,0,7.9021368,4.5315029,2,True,True,False
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-016,COMMUNITY SCH. KAJOLA AKILE,23,9,17,0,7.525776,4.5359479,2,True,True,True
Osun,AYEDIRE,ILEOGBO  I,29-04-05-005,"N.U. D. SCHOOL, ILEOGBO II",110,48,0,0,7.6152617,4.2307723,2,True,True,False
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-020,OPEN SPACE OAU HEALTH CENTRE,3,1,8,0,7.5203542,4.5165228,2,True,True,True
Osun,IFE CENTRAL,IREMO/AJEBANDELE,29-11-05-018,OPEN SPACE MOREMI HALL,19,9,27,0,7.5554803,4.5315029,2,True,True,True
Osun,IFE NORTH,EDUNABON  I,29-15-02-006,TONKERE ORILE/IDI OGBAGBA,34,57,0,0,7.6151594,4.5086065,2,True,True,False
Osun,AYEDAADE,OBALUFON,29-03-09-009,"ATOBA VILLAGE, ATOBA VILLAGE",18,14,1,0,7.2156619,4.3685574,2,True,True,True
