State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude,Latitude_rad,Longitude_rad,Cluster_500m,Cluster_1000m,Cluster_2000m
OSUN,ILA,ISEDO  I,29-17-04-008,ALAKOOYI I,278,453,True,-1,False,False,False,False,UNKNOWN,161,1,112,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/008/008-1677368810.pdf,"ALAKOOYI I, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-009,ALAKOOYI II,180,306,True,-1,False,False,False,False,UNKNOWN,88,0,88,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/009/009-1677365572.pdf,"ALAKOOYI II, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-010,"MATERNITY CENTRE, ONIGBON",278,484,True,-1,False,False,False,False,UNKNOWN,126,1,149,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97430/result_39747_1677956679_thumb.jpg,"MATERNITY CENTRE, ONIGBON, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-012,ITA ATEWOGBADE II,232,451,True,-1,False,False,False,False,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97432/result_39749_1677957324_thumb.jpg,"ITA ATEWOGBADE II, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  I,29-17-04-013,SECRETARIAT,497,887,True,-1,False,False,False,False,UNKNOWN,144,3,328,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/04/pu/013/013-1677386908.pdf,"SECRETARIAT, ISEDO  I, ILA, OSUN, Nigeria",8.0009562,4.9195154,0.1396430289978539,0.08586174133256584,66,64,50
OSUN,ILA,ISEDO  II,29-17-05-001,OLUKORI JUNCTION I,181,339,True,-1,False,False,False,False,UNKNOWN,82,0,79,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97434/result_39751_1677522999_thumb.jpg,"OLUKORI JUNCTION I, ISEDO  II, ILA, OSUN, Nigeria",8.0159804,4.9130261,0.13990525075533206,0.08574848168141617,67,54,50
OSUN,ILA,ISEDO  II,29-17-05-002,OLUKORI JUNCTION II,112,222,True,-1,False,False,False,False,UNKNOWN,52,0,59,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97435/result_39752_1677522839_thumb.jpg,"OLUKORI JUNCTION II, ISEDO  II, ILA, OSUN, Nigeria",8.0159804,4.9130261,0.13990525075533206,0.08574848168141617,67,54,50
OSUN,ILA,ISEDO  II,29-17-05-003,"ST. MATTHEW PRY. SCHOOL, I",242,503,True,-1,False,True,False,False,UNKNOWN,105,2,134,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97436/result_39753_1677518872_thumb.jpg,"ST. MATTHEW PRY. SCHOOL, I, ISEDO  II, ILA, OSUN, Nigeria",8.0159804,4.9130261,0.13990525075533206,0.08574848168141617,67,54,50
OSUN,ILA,ISEDO  II,29-17-05-004,"ST. MATTHEW PRY. SCHOOL, II",194,420,True,-1,False,True,False,False,UNKNOWN,72,0,121,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97437/result_39754_1677519223_thumb.jpg,"ST. MATTHEW PRY. SCHOOL, II, ISEDO  II, ILA, OSUN, Nigeria",8.0159804,4.9130261,0.13990525075533206,0.08574848168141617,67,54,50
OSUN,ILA,ISEDO  II,29-17-05-005,ST. MATTHEW PRY. SCHOOL III,255,528,True,-1,False,False,False,False,UNKNOWN,117,3,129,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97438/result_39755_1677522591_thumb.jpg,"ST. MATTHEW PRY. SCHOOL III, ISEDO  II, ILA, OSUN, Nigeria",8.0159804,4.9130261,0.13990525075533206,0.08574848168141617,67,54,50
