State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,APC_Outlier_Score,PDP_Outlier_Score,LP_Outlier_Score,NNPP_Outlier_Score,Max_Outlier_Score
Osun,OBOKUN,ESA-OKE,29-24-07-009,OJA-OKO OPEN SPACE,114,286,2,0,7.7590044,4.8965121,1,2,1,2,2
Osun,ODO-OTIN,OKUA/EKUSA,29-25-08-002,"TOWH HALL, OKUA",50,20,150,0,8.0087703,4.6224992,0,2,1,1,2
Osun,ODO-OTIN,JAGUN OSI BALE ODE,29-25-13-007,"ARIOYE HALL, INISA",96,150,1,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,JAGUN OSI BALE ODE,29-25-13-005,"2 AGANA AREA, INISA",123,98,0,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,JAGUN OSI BALE ODE,29-25-13-004,"ISALE AKO AREA, INISA",108,87,1,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,JAGUN OSI BALE ODE,29-25-13-003,"A.U.D. PRY. SCHOOL, INISA",125,81,1,0,7.9784399,4.6566314,0,0,2,0,2
Osun,ODO-OTIN,JAGUN OSI BALE ODE,29-25-13-001,"ST. AUGUSTINE PRY. SCHOOL, INISA",138,121,5,0,7.974139,4.6527845,0,0,2,0,2
Osun,ATAKUMOSA WEST,IFELODUN,29-02-05-005,"METHODIST PRY. SCHOOL, IGUN",1,1,1,0,7.5579416,4.6908213,2,1,1,1,2
Osun,ODO-OTIN,OLUNISA,29-25-10-009,"24 IKUPELETE AREA, INISA",126,93,1,0,7.974139,4.6527845,0,1,2,0,2
Osun,ODO-OTIN,OLUNISA,29-25-10-008,"RAILWAY STATION ROAD AREA, INISA",130,106,7,1,7.974139,4.6527845,0,0,1,2,2
Osun,ODO-OTIN,OLUNISA,29-25-10-007,"OYEDELE COMPOUND, INISA",126,123,3,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,OLUNISA,29-25-10-006,"OBA OKUNOYE COMPOUND, INISA",135,133,0,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,OLUNISA,29-25-10-005,"AKOLEGBARO'S COMPOUND, INISA",136,62,1,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,OLUNISA,29-25-10-003,"POST OFFICE, INISA",150,166,2,0,7.974139,4.6527845,0,0,2,0,2
Osun,ODO-OTIN,OKUA/EKUSA,29-25-08-006,"ST. CECILIA'S  PRY. SCHOOL, OKUA",113,156,2,0,8.0194359,4.6127574,0,1,2,1,2
Osun,ODO-OTIN,IJABE/ILA ODO,29-25-07-006,IN FRONT OF POSTAL AGENCY ILA-ODO,0,0,0,0,8.0558626,4.698658,1,2,0,1,2
Osun,AYEDAADE,BALOGUN,29-03-01-005,"MOLUBERIN JUNCTION, NEW ROAD AREA, GBONGAN",177,97,0,0,7.4752551,4.3523052,1,2,0,1,2
Osun,ODO-OTIN,IJABE/ILA ODO,29-25-07-004,"N.U.D.PRY. SCHOOL, KONTA",148,98,10,0,8.0087414,4.7174062,0,0,2,1,2
Osun,ODO-OTIN,IJABE/ILA ODO,29-25-07-003,"TOWN HALL, IJABE",146,120,11,0,8.0554281,4.6993523,2,0,0,1,2
Osun,ODO-OTIN,ORE/AGBEYE,29-25-06-006,"OPEN SPACE IN FRONT OF OYADOSU'S HOUSE, AGBEYE",0,0,0,0,7.9985449,4.5966258,0,2,0,1,2
Osun,ODO-OTIN,ORE/AGBEYE,29-25-06-004,"POSTAL AGENCY, AGBEYE",132,191,0,1,8.0001506,4.551184,0,0,1,2,2
Osun,ODO-OTIN,ORE/AGBEYE,29-25-06-002,"TOWN HALL, ORE",0,0,0,0,7.963228,4.566664,1,1,2,1,2
Osun,ODO-OTIN,ORE/AGBEYE,29-25-06-001,"ST. GABRIEL'S PRY. SCHOOL, ORE",237,188,1,0,7.9621683,4.5682458,1,1,2,1,2
Osun,ODO-OTIN,EKOSIN/IYEKU,29-25-05-008,"ELESIN FUNFUN COMMUNITY PRY. SCHOOL, IYEKU",79,74,0,0,8.0529904,4.5914647,0,2,0,1,2
Osun,ODO-OTIN,EKOSIN/IYEKU,29-25-05-004,"EKOSIN GRAMMAR SCHOOL, EKOSIN",106,228,3,0,8.0235803,4.6093816,0,1,2,1,2
Osun,ODO-OTIN,EKOSIN/IYEKU,29-25-05-001,"BAPTIST PRY. SCHOOL, EKOSIN",97,180,3,0,8.0213414,4.6145153,0,1,2,1,2
Osun,ODO-OTIN,FAJI/OPETE,29-25-04-005,"SEMI OLA AREA, OPETE",94,76,0,0,8.0603314,4.6343813,0,2,0,1,2
Osun,ODO-OTIN,IGBAYE,29-25-03-004,"BAPTIST PRY. SCHOOL, IGBAYE I",71,116,5,0,8.0213414,4.6145153,0,1,2,1,2
